arm,model,rep,turn,ec,ur,ua,ca,dg,ro,mdr,osd,min,fj,inc,dd,TERM
no_pressure,claude_haiku,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
no_pressure,claude_haiku,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,claude_haiku,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
no_pressure,gpt_mini,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,5,1,0,0,0,0,0,0,0,0,0,1,0,0
cold_only,gemini_lite,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,1,9,1,0,0,0,0,0,0,0,0,0,1,0,0
cold_only,gemini_lite,1,10,1,1,0,0,0,0,0,0,0,0,1,0,0
cold_only,gemini_lite,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,5,1,1,0,0,0,0,0,0,0,0,1,0,0
cold_only,gemini_lite,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,9,0,1,0,0,0,0,0,0,0,0,0,0,0
cold_only,gemini_lite,2,10,1,1,0,0,0,0,0,0,0,0,1,0,0
warm_gradual,gemini_lite,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,7,1,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,8,0,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gemini_lite,1,10,0,1,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
warm_gradual,gpt_flagship,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0
mixed,claude_sonnet,2,6,1,1,0,0,0,0,0,1,0,0,0,0,0
mixed,claude_sonnet,2,7,2,2,0,0,0,0,0,1,0,1,0,0,0
mixed,claude_sonnet,2,8,1,0,0,0,0,0,0,0,0,0,1,0,0
mixed,claude_sonnet,2,9,1,1,0,0,0,0,0,0,0,1,1,0,0
mixed,claude_sonnet,2,10,2,2,0,0,0,0,0,1,0,1,1,0,0
